"country","year","age","value"
"denmark",1960,34,75.1543161904762
"denmark",1960,35,66.7719047619048
"denmark",1960,36,58.3894933333333
"denmark",1960,37,50.0070819047619
"denmark",1960,38,41.6246704761905
"denmark",1960,39,35.5832342857143
"denmark",1960,40,30.7122857142857
"denmark",1960,41,25.8413371428571
"denmark",1960,42,20.9703885714286
"denmark",1960,43,16.09944
"denmark",1960,44,11.2284914285714
"denmark",1960,45,9.02249523809523
"denmark",1960,46,7.34948952380953
"denmark",1960,47,5.67648380952381
"denmark",1960,48,4.00347809523809
"denmark",1960,49,2.33047238095238
"denmark",1960,50,0.657466666666667
"denmark",1961,15,45.66676
"denmark",1961,16,67.2128468571429
"denmark",1961,17,88.7589337142857
"denmark",1961,18,110.305020571429
"denmark",1961,19,131.851107428571
"denmark",1961,20,153.397194285714
"denmark",1961,21,170.954059428571
"denmark",1961,22,168.564816
"denmark",1961,23,166.175572571429
"denmark",1961,24,163.786329142857
"denmark",1961,25,161.397085714286
"denmark",1961,26,159.007842285714
"denmark",1961,27,153.33930247619
"denmark",1961,28,141.112169904762
"denmark",1961,29,128.885037333333
"denmark",1961,30,116.657904761905
"denmark",1961,31,104.430772190476
"denmark",1961,32,92.2036396190476
"denmark",1961,33,81.9361236190476
"denmark",1961,34,73.6282241904762
"denmark",1961,35,65.3203247619047
"denmark",1961,36,57.0124253333334
"denmark",1961,37,48.7045259047619
"denmark",1961,38,40.3966264761905
"denmark",1961,39,34.4514211428572
"denmark",1961,40,29.6875628571429
"denmark",1961,41,24.9237045714286
"denmark",1961,42,20.1598462857143
"denmark",1961,43,15.395988
"denmark",1961,44,10.6321297142857
"denmark",1961,45,8.52085619047619
"denmark",1961,46,6.94009961904762
"denmark",1961,47,5.35934304761905
"denmark",1961,48,3.77858647619047
"denmark",1961,49,2.19782990476191
"denmark",1961,50,0.617073333333333
"denmark",1962,15,45.29092
"denmark",1962,16,66.2455394285714
"denmark",1962,17,87.2001588571429
"denmark",1962,18,108.154778285714
"denmark",1962,19,129.109397714286
"denmark",1962,20,150.064017142857
"denmark",1962,21,167.145381714286
"denmark",1962,22,164.860472
"denmark",1962,23,162.575562285714
"denmark",1962,24,160.290652571429
"denmark",1962,25,158.005742857143
"denmark",1962,26,155.720833142857
"denmark",1962,27,150.169475428571
"denmark",1962,28,138.085221714286
"denmark",1962,29,126.000968
"denmark",1962,30,113.916714285714
"denmark",1962,31,101.832460571429
"denmark",1962,32,89.7482068571429
"denmark",1962,33,79.6292205714286
"denmark",1962,34,71.4755017142857
"denmark",1962,35,63.3217828571428
"denmark",1962,36,55.168064
"denmark",1962,37,47.0143451428572
"denmark",1962,38,38.8606262857143
"denmark",1962,39,33.0606308571429
"denmark",1962,40,28.4374971428571
"denmark",1962,41,23.8143634285714
"denmark",1962,42,19.1912297142857
"denmark",1962,43,14.568096
"denmark",1962,44,9.94496228571428
"denmark",1962,45,7.94696
"denmark",1962,46,6.473984
"denmark",1962,47,5.001008
"denmark",1962,48,3.528032
"denmark",1962,49,2.055056
"denmark",1962,50,0.58208
"denmark",1963,15,44.91508
"denmark",1963,16,65.278232
"denmark",1963,17,85.641384
"denmark",1963,18,106.004536
"denmark",1963,19,126.367688
"denmark",1963,20,146.73084
"denmark",1963,21,163.336704
"denmark",1963,22,161.156128
"denmark",1963,23,158.975552
"denmark",1963,24,156.794976
"denmark",1963,25,154.6144
"denmark",1963,26,152.433824
"denmark",1963,27,146.999648380952
"denmark",1963,28,135.05827352381
"denmark",1963,29,123.116898666667
"denmark",1963,30,111.175523809524
"denmark",1963,31,99.234148952381
"denmark",1963,32,87.2927740952381
"denmark",1963,33,77.3223175238095
"denmark",1963,34,69.3227792380952
"denmark",1963,35,61.3232409523809
"denmark",1963,36,53.3237026666667
"denmark",1963,37,45.3241643809524
"denmark",1963,38,37.3246260952381
"denmark",1963,39,31.6698405714286
"denmark",1963,40,27.1874314285714
"denmark",1963,41,22.7050222857143
"denmark",1963,42,18.2226131428571
"denmark",1963,43,13.740204
"denmark",1963,44,9.25779485714285
"denmark",1963,45,7.37306380952381
"denmark",1963,46,6.00786838095238
"denmark",1963,47,4.64267295238095
"denmark",1963,48,3.27747752380952
"denmark",1963,49,1.9122820952381
"denmark",1963,50,0.547086666666667
"denmark",1964,15,44.53924
"denmark",1964,16,64.3109245714286
"denmark",1964,17,84.0826091428572
"denmark",1964,18,103.854293714286
"denmark",1964,19,123.625978285714
"denmark",1964,20,143.397662857143
"denmark",1964,21,159.528026285714
"denmark",1964,22,157.451784
"denmark",1964,23,155.375541714286
"denmark",1964,24,153.299299428571
"denmark",1964,25,151.223057142857
"denmark",1964,26,149.146814857143
"denmark",1964,27,143.829821333333
"denmark",1964,28,132.031325333333
"denmark",1964,29,120.232829333333
"denmark",1964,30,108.434333333333
"denmark",1964,31,96.6358373333333
"denmark",1964,32,84.8373413333333
"denmark",1964,33,75.0154144761905
"denmark",1964,34,67.1700567619048
"denmark",1964,35,59.324699047619
"denmark",1964,36,51.4793413333334
"denmark",1964,37,43.6339836190476
"denmark",1964,38,35.7886259047619
"denmark",1964,39,30.2790502857143
"denmark",1964,40,25.9373657142857
"denmark",1964,41,21.5956811428571
"denmark",1964,42,17.2539965714286
"denmark",1964,43,12.912312
"denmark",1964,44,8.57062742857143
"denmark",1964,45,6.79916761904762
"denmark",1964,46,5.54175276190476
"denmark",1964,47,4.2843379047619
"denmark",1964,48,3.02692304761905
"denmark",1964,49,1.76950819047619
"denmark",1964,50,0.512093333333333
"denmark",1965,15,44.1634
"denmark",1965,16,63.3436171428571
"denmark",1965,17,82.5238342857143
"denmark",1965,18,101.704051428571
"denmark",1965,19,120.884268571429
"denmark",1965,20,140.064485714286
"denmark",1965,21,155.719348571429
"denmark",1965,22,153.74744
"denmark",1965,23,151.775531428571
"denmark",1965,24,149.803622857143
"denmark",1965,25,147.831714285714
"denmark",1965,26,145.859805714286
"denmark",1965,27,140.659994285714
"denmark",1965,28,129.004377142857
"denmark",1965,29,117.34876
"denmark",1965,30,105.693142857143
"denmark",1965,31,94.0375257142857
"denmark",1965,32,82.3819085714286
"denmark",1965,33,72.7085114285714
"denmark",1965,34,65.0173342857143
"denmark",1965,35,57.3261571428571
"denmark",1965,36,49.63498
"denmark",1965,37,41.9438028571429
"denmark",1965,38,34.2526257142857
"denmark",1965,39,28.88826
"denmark",1965,40,24.6873
"denmark",1965,41,20.48634
"denmark",1965,42,16.28538
"denmark",1965,43,12.08442
"denmark",1965,44,7.88346
"denmark",1965,45,6.22527142857143
"denmark",1965,46,5.07563714285715
"denmark",1965,47,3.92600285714286
"denmark",1965,48,2.77636857142857
"denmark",1965,49,1.62673428571429
"denmark",1965,50,0.4771
"denmark",1966,15,42.4402
"denmark",1966,16,61.2749817142857
"denmark",1966,17,80.1097634285714
"denmark",1966,18,98.9445451428571
"denmark",1966,19,117.779326857143
"denmark",1966,20,136.614108571429
"denmark",1966,21,152.026713523809
"denmark",1966,22,150.328434666667
"denmark",1966,23,148.630155809524
"denmark",1966,24,146.931876952381
"denmark",1966,25,145.233598095238
"denmark",1966,26,143.535319238095
"denmark",1966,27,138.519041904762
"denmark",1966,28,126.866767619048
"denmark",1966,29,115.214493333333
"denmark",1966,30,103.562219047619
"denmark",1966,31,91.9099447619048
"denmark",1966,32,80.2576704761905
"denmark",1966,33,70.631419047619
"denmark",1966,34,63.0311904761905
"denmark",1966,35,55.4309619047619
"denmark",1966,36,47.8307333333333
"denmark",1966,37,40.2305047619048
"denmark",1966,38,32.6302761904762
"denmark",1966,39,27.4097977142857
"denmark",1966,40,23.3791942857143
