"country","year","age","ax","mx","qx","px","dx","lx","Lx","Tx","ex"
"denmark",1960,50,0.5,0.00426608587657776,0.00425700550105548,0.995742994498945,3961,930488,928507.5,25647025.6660333,27.5629837956355
"denmark",1960,51,0.5,0.00461249374094208,0.0046018806680531,0.995398119331947,4264,926527,924395,24718518.1660333,26.6786808868314
"denmark",1960,52,0.5,0.0049589016053064,0.00494663666306173,0.995053363336938,4562,922263,919982,23794123.1660333,25.7997156624881
"denmark",1960,53,0.5,0.00551981362136223,0.0055046213793272,0.994495378620673,5052,917701,915175,22874141.1660333,24.9254835355233
"denmark",1960,54,0.5,0.00608072563741806,0.00606229406394995,0.99393770593605,5532,912649,909883,21958966.1660333,24.0606916416204
"denmark",1960,55,0.5,0.00664163765347389,0.00661965497859447,0.993380345021405,6005,907117,904114.5,21049083.1660333,23.2043751423832
"denmark",1960,56,0.5,0.00720254966952973,0.0071767043846328,0.992823295615367,6467,901112,897878.5,20144968.6660333,22.3556768371004
"denmark",1960,57,0.5,0.00776346168558556,0.00773344254314487,0.992266557456855,6919,894645,891185.5,19247090.1660333,21.5136620291102
"denmark",1960,58,0.5,0.00871250094745956,0.00867471173037465,0.991325288269625,7701,887726,883875.5,18355904.6660333,20.6774440154206
"denmark",1960,59,0.5,0.00966154020933356,0.00961509191077736,0.990384908089223,8461,880025,875794.5,17472029.1660333,19.8540145632604
"denmark",1960,60,0.5,0.0106105794712076,0.0105545843432279,0.989445415656772,9199,871564,866964.5,16596234.6660333,19.0419001542437
"denmark",1960,61,0.5,0.0115596187330816,0.0114931902842254,0.988506809715775,9911,862365,857409.5,15729270.1660333,18.2396898830927
"denmark",1960,62,0.5,0.0125086579949556,0.0124309109878989,0.987569089012101,10597,852454,847155.5,14871860.6660333,17.4459392131813
"denmark",1960,63,0.5,0.0143282251170672,0.0142263062577446,0.985773693742255,11977,841857,835868.5,14024705.1660333,16.6592487394335
"denmark",1960,64,0.5,0.0161477922391789,0.0160184608502781,0.983981539149722,13293,829880,823233.5,13188836.6660333,15.8924623632733
"denmark",1960,65,0.5,0.0179673593612906,0.0178073835316915,0.982192616468308,14541,816587,809316.5,12365603.1660333,15.1430321154185
