"country","year","age","ax","mx","qx","px","dx","lx","Lx","Tx","ex"
"sweden",2079,74,0.5,0.00510480461765093,0.00509180827445511,0.994908191725545,4844,951325,948903,17611229.1456581,18.512316133454
"sweden",2079,75,0.5,0.00576239634668301,0.00574584143882516,0.994254158561175,5438,946481,943762,16662326.1456581,17.6045014592561
"sweden",2079,76,0.5,0.00641998807571509,0.0063994458925544,0.993600554107446,6022,941043,938032,15718564.1456581,16.7033431476119
"sweden",2079,77,0.5,0.00707757980474716,0.0070526220570265,0.992947377942973,6594,935021,931724,14780532.1456581,15.8077007314896
"sweden",2079,78,0.5,0.00901877064990414,0.0089782841073074,0.991021715892693,8336,928427,924259,13848808.1456581,14.916421157138
"sweden",2079,79,0.5,0.0109599614950611,0.010900228452995,0.989099771547005,10029,920091,915076.5,12924549.1456581,14.0470335495708
"sweden",2079,80,0.5,0.0129011523402181,0.0128184658498696,0.98718153415013,11666,910062,904229,12009472.6456581,13.1963235973573
"sweden",2079,81,0.5,0.0148423431853751,0.0147330070122608,0.985266992987739,13236,898396,891778,11105243.6456581,12.3611899937869
"sweden",2079,82,0.5,0.016783534030532,0.0166438626132476,0.983356137386752,14732,885160,877794,10213465.6456581,11.5385530815425
"sweden",2079,83,0.5,0.0222875699521098,0.0220419393198739,0.977958060680126,19186,870428,860835,9335671.64565815,10.7253806698063
"sweden",2079,84,0.5,0.0277916058736876,0.027410712021084,0.972589287978916,23333,851242,839575.5,8474836.64565815,9.95584880170169
"sweden",2079,85,0.5,0.0332956417952653,0.032750418690582,0.967249581309418,27115,827909,814351.5,7635261.14565815,9.22234345279269
"sweden",2079,86,0.5,0.0387996777168431,0.0380612947322937,0.961938705267706,30479,800794,785554.5,6820909.64565815,8.51768325644067
"sweden",2079,87,0.5,0.0443037136384209,0.0433435730149605,0.956656426985039,33388,770315,753621,6035355.14565815,7.83491837191038
"sweden",2079,88,0.5,0.0574631814030029,0.0558582840484351,0.944141715951565,41164,736927,716345,5281734.14565815,7.16724200043986
"sweden",2079,89,0.5,0.070622649167585,0.0682139251166562,0.931786074883344,47460,695763,672033,4565389.14565815,6.56170153580766
"sweden",2079,90,0.5,0.0837821169321671,0.0804135098879865,0.919586490112014,52133,648303,622236.5,3893356.14565815,6.00545754941462
"sweden",2079,91,0.5,0.0969415846967492,0.0924599763810478,0.907540023618952,55122,596170,568609,3271119.64565815,5.48689072858102
"sweden",2079,92,0.5,0.110101052461331,0.104356189323638,0.895643810676362,56461,541048,512817.5,2702510.64565815,4.9949554303096
"sweden",2079,93,0.5,0.136061714072894,0.127394927942845,0.872605072057155,61734,484587,453720,2189693.14565815,4.51867909303829
"sweden",2079,94,0.5,0.162022375684456,0.149880387461913,0.850119612538087,63378,422853,391164,1735973.14565815,4.10538212016504
"sweden",2079,95,0.5,0.187983037296018,0.171832262034658,0.828167737965342,61769,359475,328590.5,1344809.14565815,3.7410366385928
"sweden",2079,96,0.5,0.21394369890758,0.193269322081809,0.806730677918191,57537,297706,268937.5,1016218.64565815,3.41349736202209
"sweden",2079,97,0.5,0.239904360519143,0.214209467821689,0.785790532178311,51447,240169,214445.5,747281.145658147,3.11148043943285
