"country","year","age","value"
"sweden",1952,49,3.58276076190477
"sweden",1952,50,1.20305333333333
"sweden",1953,15,37.4701
"sweden",1953,16,53.4545525714286
"sweden",1953,17,69.4390051428572
"sweden",1953,18,85.4234577142857
"sweden",1953,19,101.407910285714
"sweden",1953,20,117.392362857143
"sweden",1953,21,130.774677714286
"sweden",1953,22,131.146304
"sweden",1953,23,131.517930285714
"sweden",1953,24,131.889556571429
"sweden",1953,25,132.261182857143
"sweden",1953,26,132.632809142857
"sweden",1953,27,130.231321142857
"sweden",1953,28,122.283604571429
"sweden",1953,29,114.335888
"sweden",1953,30,106.388171428571
"sweden",1953,31,98.4404548571429
"sweden",1953,32,90.4927382857143
"sweden",1953,33,82.9930691428572
"sweden",1953,34,75.9414474285714
"sweden",1953,35,68.8898257142857
"sweden",1953,36,61.838204
"sweden",1953,37,54.7865822857143
"sweden",1953,38,47.7349605714286
"sweden",1953,39,41.85186
"sweden",1953,40,36.55302
"sweden",1953,41,31.25418
"sweden",1953,42,25.95534
"sweden",1953,43,20.6565
"sweden",1953,44,15.35766
"sweden",1953,45,12.5689571428571
"sweden",1953,46,10.2822817142857
"sweden",1953,47,7.99560628571429
"sweden",1953,48,5.70893085714285
"sweden",1953,49,3.42225542857143
"sweden",1953,50,1.13558
"sweden",1954,15,37.3048
"sweden",1954,16,53.501632
"sweden",1954,17,69.698464
"sweden",1954,18,85.895296
"sweden",1954,19,102.092128
"sweden",1954,20,118.28896
"sweden",1954,21,131.864436952381
"sweden",1954,22,132.333138666667
"sweden",1954,23,132.801840380952
"sweden",1954,24,133.270542095238
"sweden",1954,25,133.739243809524
"sweden",1954,26,134.20794552381
"sweden",1954,27,131.755218666667
"sweden",1954,28,123.459634666667
"sweden",1954,29,115.164050666667
"sweden",1954,30,106.868466666667
"sweden",1954,31,98.5728826666667
"sweden",1954,32,90.2772986666667
"sweden",1954,33,82.542596952381
