"age","asfr","country","cohort"
18,0.295560435533333,"AGO",1945
17,0.2290357914,"AGO",1946
16,0.144844586733333,"AGO",1947
15,0.0598827336666667,"AGO",1948
50,0,"AGO",1914
49,0,"AGO",1915
48,0.00778763426666667,"AGO",1916
47,0.0167659776,"AGO",1917
46,0.0277320289333333,"AGO",1918
45,0.0410890258666667,"AGO",1919
44,0.0568464970666667,"AGO",1920
43,0.0746202428,"AGO",1921
42,0.0939158856,"AGO",1922
41,0.114128872,"AGO",1923
40,0.134544502533333,"AGO",1924
39,0.154337884133333,"AGO",1925
38,0.172573986533333,"AGO",1926
37,0.188760352933333,"AGO",1927
36,0.202847182933333,"AGO",1928
35,0.2152272572,"AGO",1929
34,0.226735986933333,"AGO",1930
33,0.238651402666667,"AGO",1931
32,0.251683810133333,"AGO",1932
31,0.265975817333333,"AGO",1933
30,0.2811023092,"AGO",1934
29,0.296070475333333,"AGO",1935
28,0.309319789333333,"AGO",1936
27,0.320009732133333,"AGO",1937
26,0.328019812,"AGO",1938
25,0.333949524533333,"AGO",1939
24,0.339118401466667,"AGO",1940
23,0.345565984266667,"AGO",1941
22,0.352909088533333,"AGO",1942
21,0.358341773466667,"AGO",1943
20,0.356635408933333,"AGO",1944
19,0.340138611333333,"AGO",1945
18,0.298777268266667,"AGO",1946
17,0.2315285792,"AGO",1947
16,0.146421051866667,"AGO",1948
15,0.0605344893333333,"AGO",1949
50,0,"AGO",1915
49,0,"AGO",1916
48,0.007871481,"AGO",1917
47,0.016946491,"AGO",1918
46,0.028030611,"AGO",1919
45,0.041531417,"AGO",1920
44,0.057458544,"AGO",1921
43,0.075423653,"AGO",1922
42,0.094927046,"AGO",1923
41,0.11535766,"AGO",1924
40,0.135993097,"AGO",1925
39,0.155999588,"AGO",1926
38,0.174432032,"AGO",1927
37,0.190792671,"AGO",1928
36,0.205031171,"AGO",1929
35,0.217544537,"AGO",1930
34,0.229177176,"AGO",1931
33,0.24122088,"AGO",1932
32,0.254393603,"AGO",1933
31,0.26883949,"AGO",1934
30,0.284128842,"AGO",1935
29,0.299258165,"AGO",1936
28,0.31265013,"AGO",1937
27,0.323455168,"AGO",1938
26,0.33155149,"AGO",1939
25,0.337545047,"AGO",1940
24,0.342769573,"AGO",1941
23,0.349286576,"AGO",1942
22,0.356708742,"AGO",1943
21,0.362199918,"AGO",1944
20,0.360475181,"AGO",1945
19,0.34380077,"AGO",1946
18,0.301994101,"AGO",1947
17,0.234021367,"AGO",1948
16,0.147997517,"AGO",1949
15,0.061186245,"AGO",1950
50,0,"AGO",1916
49,0,"AGO",1917
48,0.0079350884,"AGO",1918
47,0.0170834326666667,"AGO",1919
46,0.0282571210666667,"AGO",1920
45,0.0418670245333333,"AGO",1921
44,0.0579228554666667,"AGO",1922
43,0.0760331370666667,"AGO",1923
42,0.0956941332,"AGO",1924
41,0.116289844,"AGO",1925
40,0.1370920312,"AGO",1926
39,0.157260190933333,"AGO",1927
38,0.175841583733333,"AGO",1928
37,0.19233443,"AGO",1929
36,0.206687989066667,"AGO",1930
35,0.219302472933333,"AGO",1931
34,0.231029112533333,"AGO",1932
33,0.2431701396,"AGO",1933
32,0.2564493084,"AGO",1934
31,0.2710119304,"AGO",1935
30,0.2864248324,"AGO",1936
29,0.3016764128,"AGO",1937
28,0.315176595333333,"AGO",1938
27,0.326068946933333,"AGO",1939
26,0.334230694,"AGO",1940
25,0.340272684266667,"AGO",1941
24,0.345539427733333,"AGO",1942
23,0.352109093866667,"AGO",1943
22,0.3595912368,"AGO",1944
21,0.365126786266667,"AGO",1945
20,0.363388112,"AGO",1946
19,0.3465789584,"AGO",1947
18,0.304434457333333,"AGO",1948
17,0.235912447866667,"AGO",1949
16,0.149193456533333,"AGO",1950
15,0.0616806798666667,"AGO",1951
50,0,"AGO",1917
49,0,"AGO",1918
48,0.0079770108,"AGO",1919
47,0.0171736903333333,"AGO",1920
46,0.0284064111333333,"AGO",1921
45,0.0420882210666667,"AGO",1922
44,0.0582288789333333,"AGO",1923
43,0.0764348431333333,"AGO",1924
42,0.0961997134,"AGO",1925
41,0.116904238,"AGO",1926
40,0.1378163294,"AGO",1927
39,0.158091042866667,"AGO",1928
38,0.176770606466667,"AGO",1929
37,0.19335059,"AGO",1930
36,0.207779982133333,"AGO",1931
35,0.220461111866667,"AGO",1932
